City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lerwick,60.1545,-1.1494,15.0,95,100,5.34,GB,1688772554
1,inarajan village,13.2736,144.7484,29.54,79,92,7.03,GU,1688772554
2,kingston,17.997,-76.7936,31.53,66,20,8.75,JM,1688772555
3,hawaiian paradise park,19.5933,-154.9731,25.73,83,75,1.54,US,1688772555
4,udachny,66.4167,112.4,13.76,66,55,9.53,RU,1688772555
5,iqaluit,63.7506,-68.5145,12.85,58,75,1.03,CA,1688772555
6,al bawiti,28.3492,28.8659,26.95,46,4,3.72,EG,1688772556
7,alofi,-19.0595,-169.9187,26.94,65,66,4.63,NU,1688772556
8,port mathurin,-19.6833,63.4167,23.5,71,21,10.21,MU,1688772556
9,utrik,11.2278,169.8474,28.35,82,100,8.33,MH,1688772557
10,port-aux-francais,-49.35,70.2167,2.78,74,87,17.76,TF,1688772558
11,eastham,41.8301,-69.9739,24.22,75,100,2.06,US,1688772558
12,adamstown,-25.066,-130.1015,21.7,68,18,6.57,PN,1688772559
13,hepo,23.4308,115.8299,26.89,91,25,1.08,CN,1688772559
14,grytviken,-54.2811,-36.5092,-8.21,83,19,5.48,GS,1688772559
15,opuwo,-18.0607,13.84,16.07,30,0,2.61,NA,1688772560
16,labytnangi,66.6572,66.4183,13.95,86,100,2.5,RU,1688772560
17,kargil,34.5667,76.1,9.05,73,83,1.99,IN,1688772560
18,richards bay,-28.783,32.0377,20.19,37,18,4.78,ZA,1688772348
19,blackmans bay,-43.0167,147.3167,11.5,71,100,4.48,AU,1688772561
20,priozersk,61.0393,30.1291,13.86,88,5,3.08,RU,1688772561
21,waitangi,-43.9535,-176.5597,8.23,92,79,0.89,NZ,1688772562
22,ushuaia,-54.8,-68.3,1.81,69,40,11.83,AR,1688772562
23,acarau,-2.8856,-40.12,25.77,83,1,5.93,BR,1688772562
24,fale old settlement,-9.3852,-171.2468,28.52,74,19,9.28,TK,1688772563
25,isafjordur,66.0755,-23.124,8.85,77,4,2.74,IS,1688772563
26,tralee,52.2704,-9.7026,17.02,87,100,9.36,IE,1688772563
27,tazovsky,67.4667,78.7,10.37,96,100,7.3,RU,1688772564
28,georgetown,5.4112,100.3354,26.97,80,20,3.6,MY,1688772306
29,barah,13.7,30.3667,29.07,56,60,7.41,SD,1688772564
30,aykhal,66.0,111.5,12.56,73,78,9.68,RU,1688772327
31,cabo san lucas,22.8909,-109.9124,36.45,40,0,6.69,MX,1688772565
32,talnakh,69.4865,88.3972,17.34,75,100,4.43,RU,1688772565
33,yaren,-0.5472,166.916,28.69,81,97,6.82,NR,1688772565
34,tipitapa,12.1973,-86.0971,32.01,58,40,4.12,NI,1688772565
35,howard springs,-12.497,131.047,24.95,53,51,4.52,AU,1688772566
36,el bauga,18.262,33.9081,35.45,17,77,4.09,SD,1688772566
37,vorgashor,67.5833,63.95,10.75,95,96,2.97,RU,1688772566
38,gamba,-2.65,10.0,21.3,91,100,2.12,GA,1688772566
39,newman,37.3138,-121.0208,33.19,15,0,4.2,US,1688772567
40,edinburgh of the seven seas,-37.0676,-12.3116,14.06,80,92,8.76,SH,1688772567
41,justo daract,-33.8594,-65.1828,9.31,61,49,7.25,AR,1688772567
42,sonoita,31.85,-112.8333,37.34,16,0,8.65,MX,1688772568
43,hithadhoo,-0.6,73.0833,27.54,72,58,1.98,MV,1688772568
44,bilibino,68.0546,166.4372,17.0,36,46,3.92,RU,1688772568
45,haiku-pauwela,20.9219,-156.3051,28.01,68,40,8.23,US,1688772568
46,quellon,-43.1167,-73.6167,3.14,100,75,0.51,CL,1688772569
47,mekhe,15.1097,-16.6218,28.49,69,93,4.15,SN,1688772569
48,nar'yan-mar,67.6713,53.087,7.63,87,100,4.28,RU,1688772569
49,taksimo,56.3444,114.8794,21.02,61,92,1.17,RU,1688772569
50,bhandara,21.1667,79.65,25.32,90,100,4.62,IN,1688772570
51,whitehorse,60.7161,-135.0538,33.9,19,20,6.71,CA,1688772570
52,vadso,70.0744,29.7487,7.09,87,100,0.51,NO,1688772570
53,puerto natales,-51.7236,-72.4875,-1.26,91,9,1.47,CL,1688772570
54,puerto armuelles,8.2833,-82.8667,29.49,62,100,1.79,PA,1688772455
55,guntur,16.3,80.45,27.75,70,99,4.21,IN,1688772571
56,ribeira grande,38.5167,-28.7,19.78,66,46,4.5,PT,1688772571
57,keflavik,64.0049,-22.5624,13.95,71,0,5.14,IS,1688772571
58,olonkinbyen,70.9221,-8.7187,6.9,91,100,3.13,SJ,1688772572
59,walvis bay,-22.9575,14.5053,13.38,100,0,2.06,NA,1688772572
60,luderitz,-26.6481,15.1594,14.78,86,44,4.3,NA,1688772573
61,suntar,62.1444,117.6319,16.51,65,17,4.75,RU,1688772574
62,coquimbo,-29.9533,-71.3436,11.85,87,0,1.03,CL,1688772574
63,ingeniero guillermo n. juarez,-23.9,-61.85,26.1,54,92,4.11,AR,1688772574
64,uturoa,-16.7333,-151.4333,26.87,78,3,8.89,PF,1688772574
65,rio verde de mato grosso,-18.9181,-54.8442,24.25,38,56,1.97,BR,1688772575
66,hadibu,12.65,54.0333,24.7,82,71,9.74,YE,1688772575
67,bredasdorp,-34.5322,20.0403,12.11,57,3,10.39,ZA,1688772575
68,puri,19.8,85.85,26.29,79,99,3.48,IN,1688772545
69,port lincoln,-34.7333,135.8667,13.08,66,64,9.85,AU,1688772576
70,ta`u,-14.2336,-169.5144,27.46,75,49,7.27,AS,1688772576
71,nova sintra,14.8667,-24.7167,21.98,86,21,3.06,CV,1688772576
72,slave lake,55.2834,-114.769,23.99,33,0,3.6,CA,1688772576
73,port blair,11.6667,92.75,27.02,94,100,2.06,IN,1688772347
74,biloela,-24.4167,150.5,14.42,43,1,3.59,AU,1688772577
75,arteche,12.2645,125.4048,27.51,83,81,2.03,PH,1688772577
76,ilulissat,69.2167,-51.1,8.01,93,75,3.6,GL,1688772577
77,bandarbeyla,9.4942,50.8122,26.42,65,18,13.18,SO,1688772578
78,papatowai,-46.5619,169.4708,7.77,80,77,4.32,NZ,1688772578
79,poso,-1.3959,120.7524,24.84,85,86,5.43,ID,1688772578
80,aasiaat,68.7098,-52.8699,4.65,97,100,7.42,GL,1688772578
81,padang,-0.9492,100.3543,24.03,88,79,1.04,ID,1688772579
82,hammerfest,70.6634,23.6821,9.25,76,54,3.09,NO,1688772579
83,tura,25.5198,90.2201,23.55,97,100,2.22,IN,1688772579
84,kapuskasing,49.4169,-82.4331,23.05,43,75,4.12,CA,1688772579
85,kodiak,57.79,-152.4072,12.73,67,100,6.69,US,1688772580
86,ust-nera,64.5667,143.2,21.76,43,89,3.11,RU,1688772580
87,bethel,41.3712,-73.414,27.53,75,0,2.06,US,1688772580
88,albany,42.6001,-73.9662,24.09,88,98,1.09,US,1688772580
89,dzhangala,49.2167,50.3333,27.67,33,0,5.65,KZ,1688772581
90,margaret river,-33.95,115.0667,14.39,77,41,4.38,AU,1688772581
91,hamilton,39.1834,-84.5333,31.35,45,20,4.63,US,1688772007
92,belyy yar,53.6039,91.3903,19.94,73,20,0.0,RU,1688772582
93,novo aripuana,-5.1206,-60.3797,26.49,66,66,1.16,BR,1688772582
94,dondo,-19.6094,34.7431,16.73,87,0,0.96,MZ,1688772582
95,invercargill,-46.4,168.35,5.43,75,82,1.65,NZ,1688772582
96,anadyr,64.75,177.4833,10.28,81,75,5.0,RU,1688772583
97,san andres,12.5847,-81.7006,29.01,74,20,4.12,CO,1688772583
98,bratsk,56.1325,101.6142,17.27,71,100,1.23,RU,1688772583
99,chonchi,-42.6128,-73.8092,6.56,92,100,1.13,CL,1688772583
100,yellowknife,62.456,-114.3525,25.29,31,75,7.2,CA,1688772584
101,lihue,21.9789,-159.3672,29.77,61,20,7.72,US,1688772584
102,goondiwindi,-28.55,150.3167,10.58,65,0,3.46,AU,1688772584
103,tofol,5.3248,163.0078,30.88,70,75,4.12,FM,1688772584
104,jamestown,42.097,-79.2353,23.34,58,0,3.6,US,1688772585
105,al ghayzah,16.2079,52.176,26.42,85,85,5.11,YE,1688772585
106,tyumentsevo,53.3224,81.498,14.34,94,6,1.76,RU,1688772585
107,susuman,62.7833,148.1667,18.12,60,20,3.5,RU,1688772585
108,san patricio,28.017,-97.5169,30.97,65,30,6.32,US,1688772586
109,bouarfa,32.53,-1.95,33.48,13,91,9.55,MA,1688772586
110,badger,64.8,-147.5333,22.93,65,75,2.06,US,1688772586
111,longyearbyen,78.2186,15.6401,8.91,76,20,7.72,SJ,1688772586
112,urengoy,65.9667,78.3667,15.5,89,100,2.31,RU,1688772587
113,vyyezdnoye,55.3815,43.7864,21.1,81,39,3.12,RU,1688772587
114,puerto carreno,6.189,-67.4859,24.99,100,75,1.03,CO,1688772587
115,yuzhno-kurilsk,44.0306,145.8556,17.23,86,52,0.61,RU,1688772587
